front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
جنوبية,7,5,5+,15,1,0,1,1,1,1,1,1,0,362,0,1,1,0,1,0, حطين ,شمال الرياض,4100000,11325.96685
شرقية,7,5,5+,25,1,0,1,1,1,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,8000000,13333.33333
شمالية,7,5,5+,18,1,0,1,1,1,1,1,1,0,504,0,1,1,0,1,0, حطين ,شمال الرياض,5900000,11706.34921
شمالية,7,5,5+,15,1,0,1,1,1,1,1,1,0,965,0,1,1,0,1,0, حطين ,شمال الرياض,14000000,14507.77202
غربية,7,5,5+,25,1,0,1,1,1,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,7500000,12500
ثلاث شوارع,7,5,5+,18,1,0,1,1,1,1,1,1,0,1700,0,1,1,1,1,1, حطين ,شمال الرياض,14000000,8235.294118
ثلاث شوارع,7,5,5+,38,1,0,1,1,1,1,1,1,0,1700,0,1,1,1,1,1, حطين ,شمال الرياض,18000000,10588.23529
ثلاث شوارع,7,5,5+,22,1,0,1,1,1,1,1,1,0,1250,0,1,1,0,1,1, حطين ,شمال الرياض,14000000,11200
شمالية,7,5,5+,15,1,0,1,1,1,1,1,1,0,400,0,1,1,0,1,0, حطين ,شمال الرياض,5500000,13750
ثلاث شوارع,7,5,5+,11,1,0,1,1,1,1,1,1,0,2000,0,1,1,0,1,1, حطين ,شمال الرياض,20000000,10000
شمالية,7,5,5+,25,1,0,1,1,1,1,1,1,0,416,0,1,1,0,1,0, حطين ,شمال الرياض,5000000,12019.23077
جنوبية,7,5,5+,21,1,0,1,1,1,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,7700000,12833.33333
شمالية شرقية,7,5,5+,20,1,0,1,1,1,1,1,1,0,1800,0,1,1,0,1,0, حطين ,شمال الرياض,25000000,13888.88889
غربية,7,5,5+,20,1,0,1,1,1,1,1,1,0,400,0,1,1,0,1,0, حطين ,شمال الرياض,4800000,12000
شمالية,7,5,5+,20,1,0,1,1,1,1,1,1,0,480,0,1,1,0,0,0, حطين ,شمال الرياض,5000000,10416.66667
شمالية,6,5,5+,19,1,0,1,1,1,1,1,1,0,480,0,1,1,0,1,1, حطين ,شمال الرياض,5000000,10416.66667
جنوبية شرقية,7,5,5+,15,1,0,1,1,1,1,1,1,0,305,0,1,1,0,0,0, حطين ,شمال الرياض,3200000,10491.80328
جنوبية غربية,7,5,5+,25,1,0,1,1,1,1,1,1,0,1000,0,1,1,0,1,0, حطين ,شمال الرياض,14000000,14000
شرقية,5,5,5+,15,1,0,1,1,1,1,1,1,0,427,0,1,1,0,1,1, حطين ,شمال الرياض,6000000,14051.52225
